就是这张脸,この顔です
从这个时候家庭崩溃就开始了，真是笑不出来也救不了，真理奈酱太可怜了,もうこの時点から家庭崩壊始まってたとか笑えねぇ救えねぇ、まりなちゃん可哀想過ぎる
这里的表情…,ここの顔…
细微的动作里有伏笔啊，观察得真仔细,細かな動作に仕込みがあるんやなよく気づいたね
是个好爸爸，是妈妈的错...,良いパパだし母親が悪いな...
电话打来没接就挂了啊。不想注意到。,電話掛かってきて出ずに切ったのか。気付きたくなかった。
从这里开始就已经出轨了吗？,ここからもう不倫が始まってたん？
因为压力导致肥胖和情绪不稳定吗,ストレスによる肥満と情緒不安定か
这大概就是静香妈妈吧。。,これがたぶんしずかママか。。
是从什么时候变成这样的呢,いつからこうなったんかね
真理奈妈妈完全投去了怀疑的眼神,まりなママ完全に疑いの目向けてる
明明这么圆满却从这个时候开始...,こんな円満そうなのにこの頃から...
来电话这个细节好评,着信来てるの細かいな
包括母亲表情的变化，感觉像是牛郎店的电话,母親の表情の変化も含めてキャバの電話っぽいなぁ
到底发生了什么啊...,マジで何があったんだよ...
和平,へいわ
Before After,Before After
从这里开始是Tassel,ここからタッセル
这期间发生了什么,この間になにがあった
毕竟过了5年左右,5年くらい飛んでるからな
让她变心的是那个吗,うつり気させたのアレか
现在才注意到有来电，从那时候就开始去牛郎店了吗…,着信今気づいた、この時からキャバ行ってたんか…
牛郎店的力量也太强了吧？,キャバクラの力すごすぎひん？
是从哪里开始疯的,どこから狂った
这里的真理奈酱好痛苦,ここのまりなちゃん辛い
ds！？,ds！？
建立起来的家庭羁绊也会因为一点小事就崩溃完结，真是空虚啊…,築き上げてきた家族の絆もちょっとした事で崩れ終わるむなしいものよのう…
拿着遥控器呢…,リモコン持ってるな…
还很年轻,まだ若い
电话的演出太神了,電話の演出ヤバ
有虐待真真理奈的场景……,本物マリナに虐待してるシーンが……
直到最近都还很和平啊,つい最近までは平和だったんだ
总是欺负弱者的母女,常に弱い方に当たる親子
突然回忆杀变地狱,いきなり回想が地獄に
因为牛郎店一切都毁了,キャバクラで全てが壊れた
是翻盖手机啊,がらけーなんや
妈妈在这里好像察觉到了，真是…,母親がここで勘付いてるっぽいのが何とも
用相机用力按一下送到真理奈酱那里去吧,カメラで強く押してまりなちゃんのところに送ってあげよう
关系不和之后妈妈突然变圆了啊，是压力吗,不仲になってから急に丸くなったなお母さん、ストレスか
为什么会变成这样…(´；ω；｀),何故こうなった…(´；ω；｀)
好痛苦啊、、,つらいよ、、
为什么？,なぜ？
空调遥控器 没坏还能用真是命大,エアコンのリモコン　よく壊れずに生きてきたな
是妈妈胖了失去了作为女性的魅力吗,ママが太って女性としての魅力がなくなったのか
大概是静香酱的妈妈和真理奈酱的爸爸相遇然后开始出轨了吧…不过也有可能是妈妈自己变成这样的……,多分今の間にしずかちゃんのママとまりなちゃんのパパが出会って浮気し始めたとかなんかな…いやでも母親が勝手にこうなった可能性も……
从什么时候开始疯的,いつから狂ったんや
要是不去牛郎店就好了,キャバクラに行かなければ
如果原因在于静香妈妈的话，真理奈的仇恨转向静香也能理解,これの原因がしずか母だとしたらまりなのヘイトがしずかに向かうのも理解はできる
是妈妈胖了的错吧,母親が太ったせいじゃね
工作电话的话不会马上挂断吧,仕事の電話ならすぐ切らないか
告诉我这期间发生了什么，请,その間を教えて、どうぞ
是这个妈的话感觉会染发,この母なら染めてそう
这不是甚尔君吗,甚爾くんやないか
家里变成这样是最近的事啊,家こうなったの結構最近なんだね
🦄...,🦄...
即使家人分崩离析了也一直珍藏着幸福时期的全家福啊…,家族がバラバラになった今でも幸せだった頃の家族写真をずっと大事に飾ってるんだな…
因为年龄增长而发胖是没办法的，连那一点也得从一开始就爱啊。我们不也是头发会…,加齢による太りはしゃーないのよ、そこも含めて最初に愛さなきゃね。なんなら俺らも頭髪が
影像化后感觉挺戳人的､､、,映像化すると結構来るものがあるな､､、
这里的爸爸长得像伏黑爹啊,ここのパパ伏黒父ちゃん似だな
为什么会变成这样,なんでこうなった
这是章鱼P的美好记忆？,これタコピーの都合いい記憶？
明明曾经那么要好,あんなに一緒だったのに
爸爸长得像伏黑甚尔,パパ伏黒甚爾やん見た目
这张照片好痛苦,この写真つれー
从这里开始的演技很厉害,ここからの演技がすごい
果然牛郎和陪酒女都该废除啊 风营法再加强吧,やっぱりキャバもホストも廃止すべきだな 風営法更に強化せよ
父亲太垃圾了,父親クソすぎるて
人扭曲的原因不外乎工作或人际关系。肯定是发生了什么吧,人が歪む原因なんて仕事か対人関係しかない。何かあったんだろうさ
还贴着相册，想必曾经是很好的家庭吧…,アルバム貼ってるあたり、だいぶ良い家族だったんだろうなぁ…
是把爸爸的份也吃了所以胖了吗,お父さんの分も食べて太ったのか
为什么是金发？,なんで金髪なの？
是甚尔的话干得出来,甚爾ならやりかねない
公司里发生了什么吗老爸,会社でなんかあったんか親父は
结果上是章鱼P知道了生命的珍贵，但那个毒亲说的可不是那个意思,結果的にはタコピーが命の尊さを知ったけどあの毒親が言ってるのはそうじゃないぞ
为什么会变成这样,なぜこうなった
这里是艾伦,ここエレン
是根据全家福推测的吧,家族写真からの推測でしょ
你以为管制了就能全部解决吗,規制すりゃ全部解決するとでも思ってんのか
妈妈胖了啊,ママ太ったなぁ
蜡烛有6根，所以这张照片只是3~4年前的吗・・・太狠了,ろうそくが6本だからたったの3～4年前なのかこの写真・・・えぐい
想必谁都没有错,きっと誰も悪くなかったんだ
老是吃意面当然会胖了,パスタばかり食っているから太るわな
妈妈是个美人啊,母ちゃん美人じゃん
为什么会变成这样,どうしてこうなった
在拿东西出气？,ものにあたってる？
我家砧板都插到墙上或门上过，遥控器算好的了。,うちはまな板が壁や扉に刺さったこともあったからリモコンなんてまだマシね。
就算取缔了牛郎和陪酒，也只是换个形式而已pi哟,キャバやホストを潰しても形態が変わるだけだッピよ
啊啊啊啊,あぁぁぁ
直播的1是88.5%（母子）这点真是让人无可奈何,生放送の１が88.5%（母子）なの本当やるせねえ
是爸爸的雄性荷尔蒙太高了吧,父の雄度が高かったんやな
注意到自己弄坏的东西了吗,自分が壊した物に気づいちゃったか
难道这作品最后是全部当没发生过的结局吗,もしかして最後は全部なかったことになるオチかな、この作品
先不说菜刀，砧板・・・？？？,包丁ならともかくまな板・・・？？？
告解,告解
喂石破你倒是做点什么啊乌贼,おい石破何とかしろイカ
正因为有幸福的记忆，和现在的落差才让人绝望，为了回到那个时候而拼命的样子太狠了,幸せな記憶がある分、今との落差で絶望してあの頃に戻るためならって躍起になるのえぐい
是两人都没有做好当父母的觉悟吧,二人とも親になる覚悟が足りなかったんやろなぁ
爷爷奶奶是白人吧(随便说说),おじいちゃんおばあちゃんが白人なんでしょ(適当)
章鱼Pの罪恶,タコピーの罪悪
章鱼P，不用责怪自己也可以的,タコピー、いいんだぜ自分を責めなくても
生了孩子后才沉迷的牛郎店真是可怕呢,子供生まれてからハマるキャバは恐ろしいねえ
这里是地狱啊，是地狱,地獄やここは地獄なんや
当父母的觉悟什么的让弱男来说真恶心,親になる覚悟がどうとか弱男が言うのキッツ
※死了,※死にました
能自己注意到并反省这点已经很了不起了,自分で気づいて反省できる時点で偉いよ
好痛苦pi呢ーｗｗｗｗｗｗｗｗｗ,ツライっピねーｗｗｗｗｗｗｗｗｗ
不，罪魁祸首是老爸吧,いや親父が諸悪の根源だろ
副标题回收得如此悲伤,サブタイ回収がなんとも物悲しい
切断父亲的鸡鸡,父親のチソチソ切断
副标题回收,サブタイトル回収
艾伦point+1000,エレンポイント+1000
